education,skills,experience,certifications,projects,career
M.Tech,"Java, Git, Docker, .NET, Algorithms, MySQL",4.2,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
B.E,"Linux, Penetration Testing, SIEM, Wireshark, Nmap, Network Security, Firewall",6.0,Certified Ethical Hacker (CEH),Web Application Penetration Testing Report,Cybersecurity Analyst
B.Sc,"REST API, JavaScript, Express, MongoDB, CSS, HTML",6.2,JavaScript Specialist,E-Commerce Web Portal with Stripe,Web Developer
M.Sc,"PostgreSQL, Data Visualization, Power BI, MySQL, Python",1.9,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
B.Sc,"Wireshark, SOC, Network Security, Cryptography, Metasploit, Cybersecurity",5.5,CompTIA CySA+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"Algorithms, Linux, Python, Git",4.8,Oracle Certified Java Professional,Peer-to-Peer Chat Engine,Software Developer
MCA,"Pandas, PyTorch, Python, Scikit-learn, Docker, Machine Learning, Model Deployment",2.0,None,Edge AI Device Defect Classifier,Machine Learning Engineer
BCA,"Data Structures, Python, Algorithms, Java, Docker, C++",8.3,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
M.Tech,"Python, Docker, Deep Learning, Model Deployment",8.2,None,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
BCA,"React, Express, Bootstrap, REST API, PostgreSQL, HTML, CSS",3.1,Full Stack Web Development Bootcamp,Social Media Feed Web Application,Web Developer
M.S,"Spring Boot, Algorithms, Git, C++, Java, MySQL",4.5,Oracle Certified Java Professional,Hospital Management Desktop App,Software Developer
M.Tech,"Deep Learning, Computer Vision, PyTorch, TensorFlow",2.6,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Tech,"Python, Deep Learning, Docker, PyTorch, Pandas, Machine Learning",3.1,AWS Certified Machine Learning Specialty,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
MCA,"MLOps, PyTorch, Docker, NLP, Python, AWS",6.5,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"HTML, TypeScript, Node.js, Angular, CSS, Express",5.6,Meta Front-End Developer Certificate,Portfolio Showcase with Dynamic Theming,Web Developer
M.Tech,".NET, OOP, SQL, Algorithms, Python, C++, Linux",1.4,Oracle Certified Java Professional,Peer-to-Peer Chat Engine,Software Developer
B.Tech,"Statistics, PyTorch, Pandas, SQL, Big Data, Python, NumPy",6.1,IBM Data Science Professional,Recommendation System for E-Commerce,Data Scientist
BCA,"Python, FastAPI, Docker, PyTorch",2.1,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Sc,"Matplotlib, Pandas, NLP, SQL, NumPy, Statistics, R",9.9,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
B.E,"Ethical Hacking, Wireshark, Cryptography, Linux, Cybersecurity, Network Security",4.7,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"GitLab CI, Kubernetes, Cloud Architecture, Networking, Microservices, Docker",7.9,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Tech,"Deep Learning, TensorFlow, Docker, Machine Learning, NLP",9.6,None,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Sc,"NumPy, Pandas, SQL, Matplotlib",3.2,None,Customer Churn Prediction Model,Data Scientist
M.S,"Python, C++, Unit Testing, Spring Boot, Data Structures, Algorithms, C#",6.2,AWS Certified Developer,Distributed Cache Mechanism,Software Developer
M.S,"Docker, Python, Pandas, Scikit-learn, MLOps, Deep Learning, Machine Learning",1.0,None,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Sc,"Node.js, React, Tailwind, Next.js, MongoDB, CSS, Express",4.7,None,Restaurant Food Ordering Web App,Web Developer
M.S,"Data Visualization, Statistics, Excel, Google Analytics, Power BI, Tableau, Data Analysis, R",9.1,None,Financial Quarterly KPI Visualization,Data Analyst
M.Sc,"R, SQL, Pandas, Matplotlib, Machine Learning, PyTorch",9.3,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
M.Tech,"Penetration Testing, Cybersecurity, Firewall, Wireshark",8.1,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.S,"Power BI, Google Analytics, SQL, Excel, Data Analysis, Business Intelligence",10.0,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
M.S,"SQL, Data Visualization, Excel, Tableau, R",1.2,Tableau Desktop Specialist,Marketing Campaign ROI Tracker,Data Analyst
M.S,"Linux, Wireshark, Metasploit, Cryptography, Nmap, Ethical Hacking, Firewall, Penetration Testing",0.3,CompTIA Security+,Web Application Penetration Testing Report,Cybersecurity Analyst
M.Tech,"Vue.js, Node.js, Django, HTML, JavaScript, CSS, REST API, Tailwind",2.4,Full Stack Web Development Bootcamp,E-Commerce Web Portal with Stripe,Web Developer
BCA,"Kubernetes, Jenkins, Cloud Architecture, Linux",8.3,AWS Solutions Architect Associate,Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Sc,"Bash, Python, CI/CD, Terraform, Cloud Architecture, GCP, Linux, AWS",0.9,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Tech,"Java, Algorithms, OOP, C++, Spring Boot",6.5,Oracle Certified Java Professional,Banking Transaction Core System,Software Developer
B.Tech,"Express, React, Bootstrap, HTML, CSS, REST API",4.7,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
M.Sc,"Scikit-learn, TensorFlow, Machine Learning, Docker, Deep Learning, FastAPI, Computer Vision",7.0,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Tech,"Cloud Architecture, Terraform, Docker, Prometheus, CI/CD",1.9,AWS Solutions Architect Associate,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
MCA,"Scikit-learn, Deep Learning, SQL, Tableau, Matplotlib, Statistics",9.5,None,Recommendation System for E-Commerce,Data Scientist
MCA,"C++, Data Structures, OOP, Docker, Unit Testing, Git",2.7,AWS Certified Developer,Banking Transaction Core System,Software Developer
M.Tech,"Computer Vision, Scikit-learn, PyTorch, Python, Machine Learning, Deep Learning, NLP, Pandas",4.1,None,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
